Course ID,Teacher name,I prefer to plan my tasks well in advance rather than dealing with them spontaneously. ,I enjoy engaging in lively discussions and debates with colleagues and students.,I find satisfaction in guiding and mentoring students towards their academic and professional goals. ,"I tend to keep a professional distance from my students, maintaining a strictly academic relationship. ",I enjoy exploring innovative teaching techniques and I see mistakes and setbacks as opportunities for growth and learning rather than reasons for discouragement.,"I prioritize academic excellence above all else, even if it means pushing students to their limits. ",I am passionate about my subject area and enjoy sharing my enthusiasm with others. ,I am patient and understanding when working with students who are struggling academically. ,I believe in the importance of ethics and integrity in academic research and teaching.,I value creativity and encourage my students to think outside the box in their assignments and projects
1AI013,teacher 1,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Agree
1AI014,teacher 2,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree
1AI015,teacher 3,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Agree
1AI016,teacher 4,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly agree
1AI017,teacher 5,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree
1AI018,teacher 6,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree
1AI019,teacher 7,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree
1AI020,teacher 8,Disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly agree
1AI021,teacher 9,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree
1AI022,teacher 10,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree
1AI023,teacher 11,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree
1AI024,teacher 12,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree
1AI025,teacher 13,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree
